session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-02-12,335.7900085449219,337.6499938964844,334.489990234375,337.2300109863281,206200000,333.68,329.0,352.58,56.5,5.01,
2025-02-13,338.5299987792969,341.0899963378906,337.92999267578125,341.05999755859375,263600000,334.01,329.11,352.45,60.6,4.93,
2025-02-14,341.8800048828125,344.1400146484375,341.2900085449219,342.760009765625,237000000,334.63,329.32,352.38,62.3,4.8,
2025-02-17,343.2900085449219,345.55999755859375,342.75,345.1099853515625,157300000,335.35,329.6,352.35,64.5,4.65,
2025-02-18,345.6700134277344,348.2799987792969,344.510009765625,347.8399963378906,180400000,336.19,330.04,352.29,67.0,4.59,
2025-02-19,349.0299987792969,355.8599853515625,349.0299987792969,354.5299987792969,254900000,337.13,330.63,352.3,72.1,4.84,
2025-02-20,353.3500061035156,354.29998779296875,350.7799987792969,352.1499938964844,218100000,337.99,331.04,352.28,68.1,4.76,
2025-02-21,352.1700134277344,352.2300109863281,349.54998779296875,351.9200134277344,175200000,338.89,331.55,352.26,67.7,4.61,
2025-02-24,348.9800109863281,349.8999938964844,347.4100036621094,349.8999938964844,197100000,339.66,332.07,352.19,64.2,4.6,
2025-02-25,345.8299865722656,349.2300109863281,345.5799865722656,347.5400085449219,188700000,340.1,332.58,352.14,60.2,4.58,
2025-02-26,347.44000244140625,350.510009765625,346.25,349.30999755859375,194200000,340.84,333.29,352.08,62.1,4.56,
2025-02-27,348.5199890136719,348.9100036621094,344.95001220703125,346.45001220703125,159500000,341.32,333.8,351.99,57.4,4.54,
2025-02-28,341.1600036621094,341.57000732421875,334.05999755859375,334.2699890136719,248800000,341.37,334.01,351.84,42.5,5.11,
2025-03-04,332.5799865722656,336.57000732421875,331.6700134277344,334.0199890136719,187000000,341.84,334.11,351.69,42.3,5.09,
2025-03-05,336.8900146484375,338.7699890136719,334.25,337.0799865722656,200000000,342.26,334.24,351.56,46.3,5.07,
2025-03-06,339.1600036621094,341.0899963378906,338.07000732421875,340.30999755859375,171100000,342.65,334.46,351.39,50.2,4.99,
2025-03-07,336.9100036621094,340.07000732421875,335.3900146484375,338.4200134277344,182000000,342.75,334.72,351.21,48.0,4.99,
2025-03-10,337.1199951171875,340.260009765625,336.5400085449219,338.7900085449219,139500000,342.99,334.9,351.06,48.5,4.9,
2025-03-11,331.6400146484375,336.3999938964844,330.2200012207031,334.9599914550781,172600000,343.02,335.15,350.88,44.0,5.16,
2025-03-12,337.0199890136719,341.5299987792969,335.6400146484375,340.8900146484375,206800000,343.23,335.6,350.73,51.5,5.26,
2025-03-13,344.2799987792969,344.9800109863281,339.2300109863281,341.4200134277344,192100000,343.44,335.97,350.59,52.1,5.29,
2025-03-14,340.2300109863281,342.1199951171875,339.8999938964844,340.79998779296875,134300000,343.42,336.32,350.42,51.3,5.07,
2025-03-17,343.989990234375,348.260009765625,343.989990234375,348.19000244140625,172200000,343.69,336.86,350.3,59.6,5.24,
2025-03-18,350.80999755859375,352.3500061035156,346.9599914550781,347.8399963378906,179400000,343.83,337.43,350.18,59.0,5.25,
2025-03-19,347.8999938964844,352.8399963378906,347.8500061035156,350.8500061035156,160900000,343.98,338.09,350.07,62.1,5.24,
2025-03-20,353.7099914550781,354.70001220703125,351.1400146484375,353.5,159000000,343.93,338.81,349.98,64.5,5.14,
2025-03-21,353.5799865722656,355.3900146484375,351.7300109863281,355.17999267578125,190600000,344.08,339.43,349.9,66.0,5.03,
2025-03-24,353.7200012207031,355.94000244140625,352.70001220703125,353.239990234375,76900000,344.15,339.87,349.84,62.7,4.9,
2025-03-25,356.1300048828125,356.4800109863281,350.69000244140625,351.0899963378906,101800000,344.21,340.27,349.74,59.2,4.97,
2025-03-26,352.7799987792969,355.55999755859375,351.6400146484375,355.0,88200000,344.58,340.67,349.65,63.2,4.93,
2025-03-27,351.3999938964844,353.54998779296875,349.6300048828125,350.260009765625,91600000,344.63,340.97,349.58,55.9,4.96,
2025-03-28,347.54998779296875,347.7699890136719,341.760009765625,342.9599914550781,83700000,344.45,341.14,349.5,47.0,5.22,
2025-03-31,336.95001220703125,337.1600036621094,332.2200012207031,332.3999938964844,108900000,344.36,341.18,349.37,37.6,5.61,
2025-04-01,336.7200012207031,339.67999267578125,334.3500061035156,338.2200012207031,91600000,344.57,341.33,349.24,44.2,5.73,
2025-04-02,338.760009765625,339.7099914550781,335.42999267578125,336.260009765625,92500000,344.53,341.43,349.1,42.6,5.63,
2025-04-03,326.2200012207031,332.9599914550781,326.2200012207031,332.9200134277344,105100000,344.16,341.38,348.94,39.9,5.94,
2025-04-04,327.3699951171875,335.1099853515625,324.8399963378906,328.6700134277344,133800000,343.67,341.25,348.72,36.7,6.25,
2025-04-07,313.5199890136719,315.29998779296875,309.3999938964844,309.6000061035156,140800000,342.21,340.76,348.43,26.4,7.18,
2025-04-08,317.07000732421875,317.42999267578125,309.25,310.0299987792969,116000000,340.97,340.27,348.15,26.9,7.25,
2025-04-09,309.2300109863281,310.8999938964844,303.4100036621094,304.5299987792969,116800000,339.15,339.59,347.81,24.6,7.27,
