session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-08-11,72000.0,72100.0,70800.0,71000.0,11354253,68495.0,63372.0,57634.5,62.6,1920.95,
2025-08-12,71100.0,72400.0,71100.0,71100.0,15797656,68865.0,63670.0,57691.5,62.8,1883.74,
2025-08-13,71900.0,72100.0,71400.0,71900.0,12305742,69225.0,63972.0,57755.0,64.8,1820.61,
2025-08-14,71900.0,71900.0,71200.0,71600.0,11946122,69470.0,64248.0,57818.0,63.4,1740.57,
2025-08-18,71100.0,71200.0,70000.0,70000.0,13595591,69615.0,64466.0,57879.5,56.5,1730.53,
2025-08-19,70400.0,70700.0,69700.0,70000.0,10533082,69725.0,64670.0,57934.0,56.5,1678.35,
2025-08-20,70100.0,70700.0,69400.0,70500.0,17445516,69950.0,64896.0,58003.5,58.2,1651.32,
2025-08-21,71500.0,71900.0,70600.0,70600.0,18843833,70160.0,65110.0,58077.0,58.5,1633.37,
2025-08-22,71700.0,71800.0,70800.0,71400.0,9277432,70430.0,65348.0,58143.5,61.2,1602.42,
2025-08-25,71700.0,71800.0,71000.0,71500.0,10345178,70710.0,65612.0,58203.0,61.6,1545.1,
2025-08-26,70800.0,71100.0,70300.0,70300.0,14712519,70705.0,65874.0,58259.0,55.3,1520.45,
2025-08-27,70100.0,70900.0,69800.0,70600.0,10523405,70705.0,66124.0,58316.0,56.5,1490.42,
2025-08-28,70100.0,70400.0,69600.0,69600.0,11578024,70555.0,66320.0,58372.5,51.6,1455.39,
2025-08-29,70100.0,70500.0,69700.0,69700.0,11682267,70470.0,66530.0,58427.5,52.0,1415.72,
2025-09-01,68400.0,68600.0,67500.0,67600.0,12002343,70405.0,66692.0,58477.5,43.0,1471.74,
2025-09-02,67800.0,69500.0,67800.0,69100.0,10604028,70375.0,66914.0,58536.5,49.7,1502.33,
2025-09-03,69200.0,69800.0,68800.0,69800.0,10283009,70370.0,67100.0,58599.0,52.5,1466.45,
2025-09-04,69500.0,70100.0,69300.0,70100.0,12284414,70435.0,67276.0,58664.5,53.7,1418.84,
2025-09-05,70300.0,70400.0,69500.0,69500.0,11526724,70385.0,67462.0,58737.0,51.0,1381.78,
2025-09-08,69800.0,70500.0,69600.0,70100.0,9263135,70300.0,67648.0,58822.5,53.5,1354.51,
2025-09-09,70100.0,71500.0,70000.0,71500.0,14870245,70325.0,67882.0,58927.0,58.9,1364.91,
2025-09-10,71800.0,72800.0,71600.0,72600.0,21928565,70400.0,68130.0,59040.5,62.6,1360.27,
2025-09-11,73200.0,73600.0,72100.0,73400.0,20793501,70475.0,68382.0,59140.0,65.1,1370.25,
2025-09-12,74600.0,75600.0,74200.0,75400.0,28219678,70665.0,68614.0,59233.5,70.3,1429.52,
2025-09-15,77200.0,77600.0,75900.0,76500.0,19908805,70990.0,68878.0,59334.5,72.7,1484.55,
2025-09-16,76900.0,79500.0,76700.0,79400.0,28218265,71460.0,69232.0,59455.0,77.9,1592.8,
2025-09-17,79100.0,79100.0,77100.0,78200.0,20856317,71845.0,69568.0,59564.0,71.8,1643.31,
2025-09-18,79100.0,80500.0,78600.0,80300.0,25619035,72330.0,69966.0,59685.5,75.4,1690.22,
2025-09-22,81500.0,84000.0,81100.0,83500.0,27529656,72935.0,70416.0,59813.5,79.7,1833.78,
2025-09-23,85800.0,85900.0,83600.0,84700.0,23610263,73595.0,70858.0,59945.5,81.0,1874.22,
2025-09-24,84200.0,85500.0,83700.0,85400.0,18300997,74350.0,71316.0,60091.0,81.8,1868.92,
2025-09-25,84400.0,86200.0,84100.0,86100.0,19665151,75125.0,71764.0,60244.0,82.5,1885.42,
2025-09-26,85000.0,85300.0,82400.0,83300.0,24071193,75810.0,72136.0,60389.5,70.2,2015.04,
2025-09-29,83300.0,85000.0,83200.0,84200.0,13069094,76535.0,72486.0,60542.5,71.7,1999.68,
2025-09-30,84600.0,84900.0,83400.0,83900.0,16319061,77350.0,72822.0,60694.0,70.4,1963.99,
2025-10-01,84900.0,86200.0,84700.0,86000.0,22039361,78195.0,73186.0,60858.5,73.8,1987.99,
2025-10-02,89300.0,90300.0,88700.0,89750.0,49883028,79192.5,73661.0,61038.75,78.6,2153.13,
2025-10-10,94000.0,94500.0,92700.0,94400.0,35269748,80407.5,74221.0,61240.25,82.8,2338.62,
2025-10-13,91300.0,93400.0,90700.0,93300.0,23883308,81597.5,74767.0,61439.75,78.8,2435.86,
2025-10-14,95300.0,96000.0,90200.0,91600.0,35545235,82672.5,75281.0,61627.75,73.1,2676.16,
2025-10-15,92300.0,95300.0,92100.0,95000.0,21050111,83847.5,75773.0,61832.75,76.7,2749.29,
2025-10-16,95300.0,97700.0,95000.0,97700.0,28141060,85102.5,76315.0,62041.75,79.2,2745.77,
2025-10-17,97200.0,99100.0,96700.0,97900.0,22730809,86327.5,76821.0,62250.75,79.3,2721.07,
